trial	start	end	x	y	mad.x	mad.y	peak.vx	peak.vy	dur	event	participant
1	24884	24936	1160.85	627.28	0.5485620000001753	17.00542200000004	1.5	-4.59499999999997	52	fixation	3
1	24948	25136	1161.37	701.57	8.539775999999986	1.4974259999999864	-1.205000000000041	-3.4350000000000023	188	fixation	3
1	25168	25548	970.72	695.2	10.022375999999985	8.747339999999966	-2.9499999999999886	2.329999999999984	380	fixation	3
1	25572	25616	851.38	690.46	5.14462200000004	5.693183999999878	3.329999999999984	2.1550000000000296	44	fixation	3
1	25624	26008	832.765	684.575	2.787287999999993	10.200287999999993	3.1650000000000205	-3.1499999999999773	384	fixation	3
1	26036	26272	978.71	692.9	4.581233999999879	5.9304	-3.784999999999968	1.8249999999999886	236	fixation	3
1	26284	26404	1025.075	703.0699999999999	1.5196649999999663	6.367767000000107	-3.7200000000000273	2.25	120	fixation	3
1	26428	26664	951.13	686.96	7.101653999999946	5.070492000000107	-3.2700000000000387	3.150000000000034	236	fixation	3
1	26696	26944	797.815	685.3	3.7732170000000234	4.647950999999987	-2.920000000000016	2.134999999999991	248	fixation	3
1	26952	27272	816.125	716.365	11.40860699999999	5.055666000000037	-3.75	-2.9899999999999523	320	fixation	3
1	27300	27756	953.4000000000001	725.885	18.258219000000164	9.599835000000033	-4.090000000000032	3.6899999999999977	456	fixation	3
1	27768	27900	1001.38	715.01	5.856270000000067	4.0919759999999865	-4.15500000000003	-2.545000000000016	132	fixation	3
1	28176	28584	1010.4300000000001	714.135	4.358843999999996	8.865948000000026	3.454999999999984	-4.329999999999984	408	fixation	3
1	28596	29224	964.56	730.16	9.177293999999911	10.645068000000094	-3.2250000000000227	-3.4350000000000023	628	fixation	3
1	29240	29580	991.94	769.81	3.4099799999999325	16.649598000000026	-3.4499999999999886	-3.454999999999984	340	fixation	3
1	29608	29760	1118.63	770.2349999999999	6.59756999999973	14.811173999999845	2.7899999999999636	3.079999999999984	152	fixation	3
1	29784	29908	988.02	796.13	11.015717999999925	14.025396000000054	3.0649999999999977	-3.144999999999982	124	fixation	3
1	30180	30316	778.155	772.0450000000001	4.833275999999986	2.6464409999998684	-2.765000000000043	-3.7450000000000045	136	fixation	3
1	30720	30912	843.595	554.9100000000001	3.9881939999999965	3.49893600000002	-3.865000000000009	-4.339999999999975	192	fixation	3
1	30940	31028	842.56	345.25	5.159448000000027	5.441142000000023	2.0649999999999977	5.299999999999983	88	fixation	3
1	4	224	644.29	311.1	1.393644000000081	1.6012079999999762	-1.6649999999999636	1.0550000000000068	220	fixation	4
1	244	404	779.9649999999999	312.56	2.646441000000121	4.129040999999995	-1.8000000000000114	-1.8050000000000068	160	fixation	4
1	440	560	743.185	267.28499999999997	1.5419040000001145	1.6679249999999999	2.6399999999999864	2.530000000000001	120	fixation	4
1	588	756	644.835	240.745	2.9874389999999797	3.2691329999999974	-3.0649999999999977	2.8699999999999903	168	fixation	4
1	780	1132	733.125	233.66500000000002	6.953393999999996	7.835540999999995	-1.8249999999999886	1.8349999999999937	352	fixation	4
1	1156	1308	773.215	230.015	2.3499209999999695	5.2039260000000285	2.5649999999999977	2.1400000000000006	152	fixation	4
1	1332	1464	737.05	252.36	1.3639920000001078	2.090466000000037	2.410000000000025	-2.364999999999995	132	fixation	4
1	1484	1648	796.37	271.46	1.2750360000000203	3.60271800000001	-2.6999999999999886	-2.039999999999992	164	fixation	4
1	1668	2080	804.64	338.48	2.2683779999999594	4.892579999999932	-1.69500000000005	-4.2450000000000045	412	fixation	4
1	2088	2304	768.095	333.33	1.4232959999998853	5.300294999999982	3.1650000000000205	-2.160000000000025	216	fixation	4
1	2336	2436	821.08	326.32	1.7049899999999663	1.2453840000000471	-2.840000000000032	-1.0800000000000125	100	fixation	4
1	2468	2928	726.28	278.11	1.7346420000001077	7.753997999999942	-3.1999999999999886	4.6699999999999875	460	fixation	4
1	2944	3104	789.1	259.08500000000004	1.4010569999999056	2.357334000000089	-2.7449999999999477	1.115000000000009	160	fixation	4
1	3124	3336	717.99	263.56	2.17942200000004	3.5730660000000367	-3.2000000000000455	1.4350000000000023	212	fixation	4
1	3360	3776	780.8299999999999	256.745	2.364746999999956	2.3721599999999916	-3.5400000000000205	2.200000000000003	416	fixation	4
1	3784	4092	805.73	265.19	1.5270779999999595	2.2090740000000135	-2.884999999999991	1.4199999999999875	308	fixation	4
1	4104	4296	834.765	277.725	1.994096999999956	10.370787000000048	-2.4950000000000045	-1.4699999999999989	192	fixation	4
1	4324	4564	886.895	278.87	1.2824490000000135	1.5048389999999796	-2.9750000000000227	1.4849999999999852	240	fixation	4
1	4592	4800	723.045	277.105	2.0311620000000907	2.4981810000000033	-2.569999999999993	1.4250000000000114	208	fixation	4
1	4816	5248	780.55	272.9	2.379573000000027	1.5122520000000572	-2.3100000000000023	-1.3199999999999932	432	fixation	4
1	5292	5432	723.71	307.1	2.7724620000000066	4.477452000000057	-1.580000000000041	2.6049999999999898	140	fixation	4
1	5460	5704	788.98	301.64	2.59455	2.0608139999999797	-2.5049999999999955	-1.5149999999999864	244	fixation	4
1	5728	5944	874.14	305.93499999999995	2.4685290000000304	2.5055939999999124	-2.8600000000000136	-1.7299999999999898	216	fixation	4
1	5968	6348	960.44	294.73	19.481363999999978	4.951883999999962	-2.75	1.7150000000000034	380	fixation	4
1	6368	6596	906.65	296.95	3.039330000000101	1.3343400000000505	4.485000000000014	-0.7800000000000011	228	fixation	4
1	6612	6660	906.925	293.89	0.5708009999999865	1.0007550000000167	-3.0600000000000023	0.7699999999999818	48	fixation	4
